Instance,Income
111994,33351.51633
111995,11419.68787
111996,35669.52725
111997,100375.8238
111998,15099.75933
111999,95642.03044
112000,92160.08643
112001,47493.87653
112002,39698.26022
112003,104012.1817
112004,7934.697116
112005,175539.5287
112006,27552.92496
112007,99445.83391
112008,246852.3245
112009,73194.55916
112010,43407.74108
112011,25073.69318
112012,16851.88839
112013,15491.23059
112014,141727.7893
112015,51179.90518
112016,43971.75234
112017,20979.28322
112018,146877.5793
112019,47197.2794
112020,33019.09059
112021,19732.48226
112022,88134.17308
112023,64534.92457
112024,26452.60305
112025,81970.64569
112026,36988.5622
112027,65351.48475
112028,30981.13942
112029,45098.55258
112030,177817.1818
112031,210483.9166
112032,259552.6501
112033,97159.54883
112034,207345.7294
112035,100287.2748
112036,205185.8956
112037,147437.7363
112038,192298.3345
112039,44509.49994
112040,70328.9611
112041,65356.20291
112042,43991.869
112043,70985.51907
112044,47490.50404
112045,8096.949178
112046,265669.0318
112047,24885.86325
112048,22559.86289
112049,99886.94198
112050,43766.24725
112051,80055.99353
112052,120156.8573
112053,211027.5745
112054,87879.32117
112055,27080.1617
112056,94928.52525
112057,18798.68469
112058,46181.77718
112059,31003.68609
112060,274796.824
112061,136541.4179
112062,224523.4111
112063,64419.47599
112064,20481.15039
112065,43174.02997
112066,7355.199771
112067,117521.6467
112068,79268.31542
112069,284244.7472
112070,323852.7459
112071,41513.45357
112072,73399.10183
112073,44819.26902
112074,24977.33534
112075,13001.87733
112076,138502.703
112077,1184632.695
112078,11389.53031
112079,166148.2004
112080,85639.46158
112081,944161.2579
112082,38616.23243
112083,32315.55619
112084,20413.86472
112085,39967.6624
112086,35336.39264
112087,66663.77807
112088,130657.6088
112089,46827.53161
112090,186064.1379
112091,41964.25774
112092,33760.31263
112093,88564.83025
112094,32343.07842
112095,44817.45021
112096,112227.4789
112097,17667.59655
112098,32537.65817
112099,31983.21591
112100,45606.53087
112101,180859.4654
112102,31965.7417
112103,130807.5863
112104,70372.30374
112105,55265.01538
112106,92660.41855
112107,113293.272
112108,55814.5248
112109,30706.59016
112110,43517.11966
112111,27450.20251
112112,75254.68782
112113,73548.42598
112114,76195.01514
112115,14377.51959
112116,45696.25901
112117,103279.1646
112118,26806.54758
112119,39868.83192
112120,533303.5854
112121,117110.1191
112122,493173.0542
112123,206729.1583
112124,40040.94452
112125,190220.0544
112126,161010.3371
112127,16888.8524
112128,46139.3413
112129,109128.3025
112130,83614.18509
112131,24711.40857
112132,84369.40632
112133,262370.6595
112134,16870.46677
112135,16996.31109
112136,59640.08169
112137,15093.08668
112138,30171.95031
112139,57368.93764
112140,43085.35694
112141,40846.64861
112142,80110.6485
112143,198921.3204
112144,36085.45929
112145,31242.84246
112146,42481.12383
112147,254128.2879
112148,59305.16997
112149,59421.7257
112150,6115.207345
112151,351053.4262
112152,104077.1588
112153,62181.70612
112154,31608.64161
112155,101587.627
112156,79302.21126
112157,89792.26244
112158,36854.74968
112159,284357.34
112160,56475.47572
112161,146980.6376
112162,70463.57647
112163,9968.823131
112164,26866.25866
112165,127332.8951
112166,50927.62544
112167,19728.70806
112168,52138.15127
112169,299332.0693
112170,227382.1256
112171,46008.88443
112172,20658.98902
112173,125177.5253
112174,36268.06351
112175,39548.21498
112176,31066.14416
112177,104339.3387
112178,20845.98811
112179,28909.77711
112180,39712.39807
112181,6895.436177
112182,258681.2611
112183,103231.5846
112184,24449.26923
112185,276351.1306
112186,8118.901701
112187,120030.8974
112188,111262.0848
112189,43103.6723
112190,33133.68759
112191,84697.65556
112192,197797.5938
112193,30764.97017
112194,165895.1112
112195,40275.24656
112196,26284.42357
112197,208321.6
112198,18382.28386
112199,38916.27369
112200,56997.14167
112201,335620.1148
112202,123252.9621
112203,36947.45619
112204,38598.01435
112205,7219.725138
112206,108929.5031
112207,298445.0065
112208,67689.90939
112209,435192.8528
112210,56640.7373
112211,242174.0283
112212,63326.61795
112213,21394.02691
112214,216178.7776
112215,50848.79137
112216,121444.1426
112217,40296.90934
112218,44975.35786
112219,412972.1241
112220,23012.41807
112221,7321.778162
112222,37488.14096
112223,54921.85223
112224,151934.4512
112225,17232.99726
112226,55769.28009
112227,56579.44324
112228,104097.0668
112229,53610.40231
112230,196908.7223
112231,18894.46052
112232,151552.0797
112233,23716.95456
112234,43849.51435
112235,20081.11861
112236,91740.96217
112237,317895.0154
112238,41915.14864
112239,18015.01162
112240,21170.19634
112241,21761.41002
112242,46428.8399
112243,60213.25331
112244,172543.0035
112245,102049.6258
112246,28065.87778
112247,444858.6931
112248,91557.03492
112249,14855.22948
112250,43744.76866
112251,52043.20174
112252,46503.67592
112253,28182.86358
112254,315002.2225
112255,38174.06014
112256,32196.40113
112257,36569.59608
112258,489705.392
112259,164502.3594
112260,139078.8799
112261,323332.4234
112262,103462.837
112263,28316.96582
112264,71765.49729
112265,11160.22641
112266,36675.67345
112267,54617.52527
112268,50191.84665
112269,363062.6597
112270,18459.35973
112271,77735.02727
112272,84096.36187
112273,131055.8865
112274,8241.463571
112275,181341.8488
112276,208108.0152
112277,65786.60376
112278,33174.02616
112279,22184.88238
112280,122457.5978
112281,61999.63057
112282,212827.7511
112283,102903.9833
112284,76843.87849
112285,60682.74846
112286,38292.68454
112287,39645.98312
112288,82654.43651
112289,311941.548
112290,196668.4334
112291,26283.79125
112292,664559.4688
112293,34874.89744
112294,320491.2025
112295,27795.01798
112296,239749.2933
112297,67469.02604
112298,60285.06454
112299,39895.61019
112300,9134.774912
112301,29902.94208
112302,13024.81224
112303,36423.4661
112304,177425.6469
112305,25136.4375
112306,50186.27399
112307,39837.81238
112308,111180.9111
112309,52510.13091
112310,38054.96288
112311,86069.47542
112312,38074.39884
112313,123665.4801
112314,19016.32529
112315,236718.7766
112316,42588.568
112317,21583.38287
112318,27214.22999
112319,27274.22649
112320,897376.0431
112321,56982.62474
112322,17670.41119
112323,94405.00323
112324,427472.6131
112325,217141.5878
112326,114812.9463
112327,208366.8622
112328,120798.5499
112329,122643.8021
112330,301494.8409
112331,356794.7578
112332,190747.7249
112333,307444.0318
112334,198324.5028
112335,54757.8467
112336,34075.16411
112337,278880.5954
112338,321510.4145
112339,259754.7479
112340,46303.06751
112341,1252977.702
112342,25278.6026
112343,75982.17401
112344,24224.64398
112345,32640.82829
112346,74234.45945
112347,13409.40744
112348,21146.63619
112349,19099.37601
112350,99412.52462
112351,37848.64719
112352,46552.84232
112353,-3175.961079
112354,123394.0899
112355,52314.8397
112356,60724.09713
112357,66525.08396
112358,94364.64473
112359,36776.59245
112360,20232.25767
